depId, depCount
net.databinder:dispatch-core_2.9.0-1, 9
org.apache.stanbol:org.apache.stanbol.enhancer.engines.dereference.core, 1
${project.groupId}:apparat-lzma-encoder, 2
net.bpelunit:model-bpel, 2
${pom.groupId}:jet-regression, 1
org.openbel:org.openbel.framework.common, 4
org.geoserver:RESTConfig, 2
com.google.mockwebserver:mockwebserver, 2
org.eclipse.stp.sca.osoa.java:osoa-java-api, 57
org.sonatype.sisu.goodies:goodies-eventbus, 95
org.patterntesting:patterntesting-concurrent, 1
org.codelibs.robot:s2-robot, 1
ch.sahits.game:OpenPatricianImage, 2
br.com.objectos:sitebricks, 3
${project.groupId}:cdk-hash, 3
${project.groupId}:fos-api, 1
com.github.philcali:lmxml-html_2.9.0, 1
org.ow2.bonita:bonita-engine, 5
com.github.philcali:lmxml-html_2.9.1, 2
com.github.philcali:lmxml-html_2.9.2, 1
org.jibx.schema.org.opentravel._2012A:org.jibx.schema.org.opentravel._2012A.base.pkg, 3
org.apache.axis2:addressing, 5
org.ow2.shelbie:shelbie-ssh-server, 1
com.madgag:scala-io-core_2.11, 2
org.opencms.modules:org.opencms.frontend.layoutpage, 1
org.apache.clerezza:rdf.simple.storage, 7
com.backtype:dfs-datastores-cascading, 5
org.apache.httpcomponents:jakarta-httpcore-nio, 1
org.scalamock:scalamock-core_2.11, 3
org.ow2.petals:petals-se-xslt, 1
org.scalamock:scalamock-core_2.10, 3
org.apache.clerezza:rdf.file.storage, 22
com.foursquare:spindle-runtime_2.10, 7
org.nakedobjects.plugins:htmlviewer-webapp, 1
org.ow2.jasmine.monitoring:alarm-jmx-ejb, 1
org.objectweb.fractal.juliac:${pkgArtifactId}, 1
org.commonjava.aprox:aprox-subsys-http, 27
org.ow2.orchestra.console:org.ow2.orchestra.console.commons.webui, 2
com.asayama.gwt.angular:gwt-angular-user, 2
htmlunit:htmlunit, 7
org.apache.geronimo.bundles:wadi-tribes, 2
org.apache.wicket:wicket-native-websocket-jetty, 1
com.tourgeek.tour:com.tourgeek.tour.profile.screen, 2
org.jboss.integration:jboss-transaction-spi, 1
org.geomajas.plugin:geomajas-plugin-graphicsediting-example-jar, 1
${project.groupId}:grinder-dcr-agent, 1
org.apache.camel:camel-hawtdb, 2
com.nesscomputing.testing:findbugs-annotations, 24
com.github.seratch:skinny-framework_2.10, 2
com.blacklocus:jres, 1
org.apache.shale:shale-core, 7
org.hibernate:hibernate-jpa, 2
org.apache.activemq:activemq-ra, 44
org.mitre.jcarafe.core:jcarafe.core, 3
io.reactivex:rxjava-math, 1
org.corejet:corejet-core, 3
org.jboss.resteasy:resteasy-crypto, 6
net.sourceforge.fiftyone-java:51Degrees.mobi.detection.webapp, 1
jaxme:jaxmeapi, 55
com.ibm.mobile.services:ibmfilesync, 2
us.hornerscorners.lollipop-router:lollipop-services, 1
org.apache.servicemix.bundles:org.apache.servicemix.bundles.commons-dbcp, 3
net.databinder.dispatch:dispatch-lift-json_${scala.version}, 1
org.datanucleus:datanucleus-connectionpool, 1
de.unibonn.iai.eis:luzzu-qml, 2
com.buschmais.jqassistant.examples:jqassistant.examples.plugins.rule, 1
${project.groupId}:notifications-core-bc-composite-svc, 1
oracle.jdbc:ojdbc14, 1
com.oracle.coherence.spring:coherence-spring, 1
com.projectdarkstar.tools.test:sgs-test-ext, 3
com.nitorcreations:nflow-metrics, 1
com.vaadin.external.gwt:gwt-user, 1
spiffy:spiffy-all, 1
net.sourceforge.floggy:floggy-persistence-demo, 1
io.rtr.alchemy:alchemy-mapping, 2
me.springframework:spring-me-adapter, 1
org.linkedin:org.linkedin.util-core, 66
com.sachinhandiekar:jInstagram, 3
de.matrixweb.smaller-config:smaller-config, 1
org.jboss.forge:aesh-spi, 5
org.apache.nifi:nifi-write-ahead-log, 5
org.wicketstuff:wicketstuff-push-cometd, 1
plexus:plexus-servlet, 4
org.apache.jmeter:ApacheJMeter_junit, 1
org.fusesource.insight:insight-log, 11
io.lanau.framework.poms:lanau-framework-masterpom, 1
net.sourceforge.findbugs:jFormatString, 4
org.mod4j.org.eclipse:text, 14
com.ceph:libcephfs, 1
org.jetlang:jetlang, 1
drools:drools-smf, 2
cas:casclient, 30
${project.groupId}:semargl-rdfa, 25
