className, methodName, methodDesc, owner, name, desc, groupId, artifactId, version, size, ext
akka/dispatch/Mailbox, systemQueuePut, (Lakka/dispatch/SystemMessage;Lakka/dispatch/SystemMessage;)Z, sun/misc/Unsafe, compareAndSwapObject, (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/dispatch/MessageDispatcher, akka$dispatch$MessageDispatcher$$addInhabitants, (J)J, sun/misc/Unsafe, compareAndSwapLong, (Ljava/lang/Object;JJJ)Z, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/dispatch/MessageDispatcher, inhabitants, ()J, sun/misc/Unsafe, getLongVolatile, (Ljava/lang/Object;J)J, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/dispatch/MessageDispatcher, akka$dispatch$MessageDispatcher$$shutdownSchedule, ()I, sun/misc/Unsafe, getIntVolatile, (Ljava/lang/Object;J)I, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/dispatch/MessageDispatcher, akka$dispatch$MessageDispatcher$$updateShutdownSchedule, (II)Z, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/pattern/AbstractCircuitBreaker, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/pattern/AbstractPromiseActorRef, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/pattern/AbstractPromiseActorRef, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/pattern/CircuitBreaker, swapState, (Lakka/pattern/CircuitBreaker$State;Lakka/pattern/CircuitBreaker$State;)Z, sun/misc/Unsafe, compareAndSwapObject, (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/pattern/CircuitBreaker, currentState, ()Lakka/pattern/CircuitBreaker$State;, sun/misc/Unsafe, getObjectVolatile, (Ljava/lang/Object;J)Ljava/lang/Object;, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/pattern/PromiseActorRef, watchedBy, ()Lscala/collection/immutable/Set;, sun/misc/Unsafe, getObjectVolatile, (Ljava/lang/Object;J)Ljava/lang/Object;, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/pattern/PromiseActorRef, updateWatchedBy, (Lscala/collection/immutable/Set;Lscala/collection/immutable/Set;)Z, sun/misc/Unsafe, compareAndSwapObject, (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/pattern/PromiseActorRef, state, ()Ljava/lang/Object;, sun/misc/Unsafe, getObjectVolatile, (Ljava/lang/Object;J)Ljava/lang/Object;, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/pattern/PromiseActorRef, updateState, (Ljava/lang/Object;Ljava/lang/Object;)Z, sun/misc/Unsafe, compareAndSwapObject, (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/pattern/PromiseActorRef, setState, (Ljava/lang/Object;)V, sun/misc/Unsafe, putObjectVolatile, (Ljava/lang/Object;JLjava/lang/Object;)V, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/util/internal/HashedWheelTimer$HashedWheelTimeout, state, ()I, sun/misc/Unsafe, getIntVolatile, (Ljava/lang/Object;J)I, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
akka/util/internal/HashedWheelTimer$HashedWheelTimeout, updateState, (II)Z, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z, com.typesafe.akka, akka-actor_2.10.0-RC5, 2.1.0-RC6, 1891312, jar
