id,comment,patterns
org.codehaus.groovy:groovy-json,,finalfield
com.typesafe.akka:akka-actor_2.10.0-RC1,,lockfree
com.typesafe.akka:akka-actor_2.10.0-RC2,,lockfree
com.typesafe.akka:akka-actor_2.10.0-RC3,,lockfree
com.typesafe.akka:akka-actor_2.10.0-RC5,,lockfree
net.sourceforge.owlapi:owlapi-impl,,lockfree&probyte
org.multiverse:multiverse-core,,lockfree
com.typesafe.akka:akka-actor_2.11.0-M3,,lockfree
eu.stratosphere:stratosphere-runtime,,marshalling
io.spray:spray-can,,lockfree
org.codehaus.gpars:gpars,,lockfree
org.lwjgl.lwjgl:lwjgl,,probyte
com.google.appengine:appengine-api-labs,,lockfree
com.twitter:finagle-thrift_2.9.2,,
com.typesafe.akka:akka-actor_2.10.0-M7,,
org.lwjgl.lwjgl:lwjgl_util,,
org.wildfly:wildfly-security,,
io.spray:spray-can_2.10,,
com.twitter:finagle-thrift_2.10,,
net.sourceforge.owlapi:owlapi-distribution,,
org.apache.flink:flink-shaded,,
com.googlecode.disruptor:disruptor,,
com.vaadin.external.google:guava,,
io.gatling:gatling-core,,
org.apache.tajo:tajo-common,,
org.spark-project.akka:akka-actor_2.11,,
org.unitils:unitils-mock,,
io.gatling:jsr166e,,
org.apache.flink:flink-core,,
org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-core,,
org.glassfish.main.extras:glassfish-embedded-all,,
com.carrotsearch.randomizedtesting:junit4-ant,,
com.hazelcast:hazelcast-hibernate3,,
com.lexicalscope.fluent-reflection:fluent-reflection,,
com.netaporter.gatling:gatling-core,,
com.twitter:jsr166e,,
edu.berkeley.cs.shark:hive-exec,,
net.tribe7.seeds:seeds-primitives,,
org.robolectric:android-all,,
com.sandinh:spray-util,,
com.typesafe.akka:akka-actor_2.11.0-RC3,,
com.typesafe.akka:akka-actor_2.11.0-RC4,,
com.typesafe.play:play-ws_2.10,,
net.vidageek:mirror,,
org.apache.sirona:sirona-core,,
org.gridgain:gridgain-core,,monitor
org.immutables:value-standalone,,
org.modelmapper:modelmapper,,
org.sonatype.sisu:sisu-guava,,
com.github.molecule-labs:molecule-core_2.10,,
com.github.molecule-labs:molecule-core_2.9.3,,
com.sangupta:jerry-core,,
com.typesafe.akka:akka-actor_2.11.0-RC1,,
com.typesafe.play:play-ws_2.11,,
org.apache.activemq:activemq-osgi,,
org.apache.flink:flink-runtime,,
co.cask.cdap:hive-exec,,
co.cask.tigon:tigon-common,,
com.dyuproject.protostuff:protostuff-runtime,,
com.graphhopper:graphhopper,,
com.netflix.iep-shadow:iep-rxjava,,
de.ruedigermoeller:fst,,
net.openhft:lang,,class&throw
org.apache.geronimo.ext.openejb:openejb-core,,class
org.glassfish.extras:glassfish-embedded-all,,class
org.hbase:asynchbase,,
org.jetbrains.kotlin:kotlin-compiler,,
org.kitesdk:kite-hadoop-compatibility,,
org.openjdk.jmh:jmh-core,,
ai.h2o:h2o-core,,throw
co.cask.cdap:cdap-explore-jdbc,,
com.facebook.presto.hadoop:hadoop-cdh4,,
com.facebook.presto.hive:hive-apache,,
com.google.appengine:appengine-tools-sdk,,
com.mycila:mycila-guice,,
com.orientechnologies:orient-commons,,
com.sun.grizzly:grizzly-utils,,
com.twitter:finagle-thrift_2.11,,
jboss:jbossall-client,,
net.sf.ehcache.internal:ehcache-core,,
org.appdapter:ext.bundle.math.symja_jas,,
org.cogchar:ext.bundle.opengl.jmonkey,,
org.deephacks.vals:vals,,
org.jruby.extras:jffi,,
org.kevoree.modeling.idea:org.kevoree.modeling.idea.dsl,,
org.kitesdk:kite-data-core,,
org.scala-lang.virtualized:scala-library,,
co.paralleluniverse:quasar-core,,
com.facebook.hadoop:hadoop-core,,
com.facebook.hive:hive-dwrf-shims,,
com.goldmansachs:gs-collections,,
