id,comment,patterns
org.apache.stanbol:org.apache.stanbol.entityhub.indexing.dbpedia,,
org.apache.stanbol:org.apache.stanbol.entityhub.indexing.freebase,,
org.apache.stanbol:org.apache.stanbol.entityhub.indexing.genericrdf,,
org.apache.stanbol:org.apache.stanbol.entityhub.indexing.geonames,,
org.asciidoctor:asciidoctor-ant,,
org.atmosphere.samples:atmosphere-spade-chat,,
org.atmosphere:atmosphere-spade-server,,
org.axway.grapes:grapes-server,,
org.batoo.common:batoo-common,,
org.brutusin:json-codec-jackson,,
org.codehaus.cake.forkjoin:cake-forkjoin,,throw
org.codehaus.cake.internal:cake-forkjoin,,throw
org.codehaus.mvel:mvel,,
org.codehaus.sonar-plugins.css:sslr-css-toolkit,,
org.codehaus.sonar-plugins.dotnet.csharp:sslr-csharp-toolkit,,
org.codehaus.sonar-plugins.erlang:sslr-erlang-toolkit,,
org.codehaus.sonar-plugins.flex:sslr-flex-toolkit,,
org.codehaus.sonar-plugins.java:sslr-java-toolkit,,
org.codehaus.sonar-plugins.javascript:sslr-javascript-toolkit,,
org.codehaus.sonar-plugins.php:sslr-php-toolkit,,
org.codehaus.sonar-plugins.python:sslr-python-toolkit,,
org.codehaus.sonar-plugins.xml:sslr-xml-toolkit,,
org.codehaus.sonar-plugins:sonar-ant-task,,
org.commonjava.freeki:freeki-vertx-server,,throw
org.eclipse.californium:cf-plugtest-checker,,
org.eclipse.californium:cf-proxy,,
org.ehcache:sizeof,,
org.esigate:esigate-server,,
org.fcrepo.camel:fcrepo-camel,,
org.finra.datagenerator:DataGenerator,,
org.friendularity:org.friendularity.model.test,,
org.fusesource.fabric.bridge:stream-log,,
org.glassfish.extras:glassfish-embedded-nucleus,,class
org.glassfish.main.extras:glassfish-embedded-nucleus,,
org.glassfish.tyrus.bundles:tyrus-standalone-client,,
org.glassfish.tyrus.ext:tyrus-client-cli,,
org.graphwalker:graphwalker,,
org.graphwalker:graphwalker-cli,,
org.graylog2:graylog2,,throw
org.graylog2:graylog2-bootstrap,,throw
org.gridgain:gridgain-datagrid,,monitor
org.gridgain:gridgain-hadoop1,,monitor
org.gridgain:gridgain-hadoop1-integration,,
org.gridgain:gridgain-hadoop2,,monitor
org.gridgain:gridgain-hadoop2-integration,,
org.gridgain:gridgain-hpc,,monitor
org.gridgain:gridgain-platform,,monitor
org.gridgain:gridgain-streaming,,monitor
org.infinispan:infinispan-cachestore-mongodb,,
org.infinispan:infinispan-cli,,
org.jadira.cloning:cloning,,
org.jadira.reflection.cloning:cloning,,
org.jboss.errai.io.netty:netty-common,,throw
org.jboss.spec:jboss-javaee-all-6.0,,throw
org.jcoffee:elasticsearch-orm,,
org.jcoffee:serialization-unsafe,,
org.jfaster:mango,,
org.jogamp.jocl:jocl-android,,
org.jpmml:bundle,,
org.kaazing:nuklei-core,,
org.kevoree.modeling:org.kevoree.modeling.generator.standalone,,
org.kevoree.modeling:org.kevoree.modeling.kotlin.standalone,,
org.kevoree.tools:org.kevoree.tools.ui.editor.standalone,,throw
org.kie:kie-ci-osgi,,
org.kill-bill.billing.plugin.java:accertify-plugin,,
org.kill-bill.billing.plugin.java:adyen-plugin,,
org.kill-bill.billing.plugin.java:analytics-plugin,,
org.kill-bill.billing.plugin.java:forte-plugin,,
org.kill-bill.billing:killbill-osgi-bundles-jruby,,
org.kill-bill.billing:killbill-platform-osgi-bundles-jruby,,
org.kitesdk:kite-data-crunch,,
org.liquigraph:liquigraph-cli,,
org.mapdb:mapdb-unsafe,,
org.mapfish.print:print-standalone,,
org.mk300:minimum-marshaller,,
org.multiverse:multiverse-beta,,
org.multiverse:multiverse-performance-tool,,
org.netmelody.menodora:menodora,,
org.nightcode:bertool,,
org.nosceon.natrolite:natrolite,,
org.ocpsoft.redoculous:redoculous-embedded,,throw
org.onosproject:onos-app-oecfg,objenesis,serialization&lockfree&probyte
org.openengsb.wrapped:com.google.guava-all,UnsignedBytes,probyte
org.openengsb.wrapped:org.apache.wicket-all,ClassStreamHandler,serialization&finalfield
org.ops4j.pax.tipi:org.ops4j.pax.tipi.undertow.core,FastConsurrentDirectQueue,lockfree
org.osiam:connector4java,Striped64,lockfree
org.ow2.bundles:ow2-bundles-externals-weld,UnsignedBytes,probyte
org.ow2.util.bundles:weld-1.1.10.Final,UnsignedBytes,probyte
org.safehaus.jettyjam:https,UnsignedBytes,probyte
org.scala-lang.modules:scala-pickling_2.10,Fast compile time serialization,serialization
org.scala-lang.modules:scala-pickling_2.11,Fast compile time serialization,serialization
org.securegraph:securegraph-inmemory,FastByteComparison,probyte
org.skfiy:skfiy-utils,FJ,lockfree
org.smallmind:smallmind-websocket,FJ,lockfree&throw
org.storychat:org.storychat.bundle.glulx,FJ,lockfree
org.testatoo.container:testatoo-container-grizzly,ConcurrentLinkedQueue,lockfree
org.voltdb:voltdbclient,Uses Striped64 & jsr166 & UnsignedBytes,lockfree&probyte
org.wildfly.build:wildfly-server-provisioning-standalone,Uses UnsignedBytes,probyte
org.wildfly:wildfly-client-all,Managed application runtime. Uses FJ & Striped64. PlatformDependent0 is a wrapper,lockfree&throw
org.wildfly:wildfly-mod_cluster-undertow,Uses Striped64,lockfree
org.wisdom-framework:wisdom-orientdb-object,Document and Graph DBMSs using Snappy for fast compression/decompression. UnsafeMemory is a wrapper class in Snappy,probyte
org.xerial.larray:larray,Implements large arrays for Java/Scala,largearrays
org.xerial:jnuma,Wrapper allocateMemoty and freeMemory,largearrays
org.xerial:larray,Implements Large arrays for Java/Scala,largearrays
uk.co.boundedbuffer:low-latency-primitive-concurrent-queues,Implements AbstractBlockingQueue but no CAS method only putOrderedInt where is the sync?,
uk.co.real-logic:sbe,DirectBuffer is a wrapper class of ByteBuffer/byte[] array,
