countsJava[] = 50692
countsTotal[] = 699331
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLong.java][weakCompareAndSet][compareAndSwapLong] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLongArray.java][<init>][putLongVolatile] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLongArray.java][<init>][putLongVolatile] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLongArray.java][compareAndSet][compareAndSwapLong] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLongArray.java][get][getLongVolatile] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLongArray.java][lazySet][putOrderedLong] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLongArray.java][set][putLongVolatile] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLongArray.java][toString][arrayBaseOffset] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLongArray.java][toString][arrayIndexScale] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLongFieldUpdater.java][<init>][objectFieldOffset] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLongFieldUpdater.java][<init>][objectFieldOffset] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLongFieldUpdater.java][compareAndSet][compareAndSwapLong] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLongFieldUpdater.java][compareAndSet][getLong] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLongFieldUpdater.java][compareAndSet][putLong] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLongFieldUpdater.java][get][getLongVolatile] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLongFieldUpdater.java][get][getLong] = 1
projectsWithUnsafe[Amiga Development Tools (adtools)][An effort to unify the development of patches against binutils, gdb, and GCC to support all kind of AmigaOS target platforms (AmigaOS, MorphOS, AROS, etc). Another target is to achieve an integration of these patches to the official development projects.][http://sourceforge.net/projects/adtools][/branches/gcc/4.2.4-to-4.4.2-merge-branch/libjava/classpath/external/jsr166/java/util/concurrent/atomic/AtomicLongFieldUpdater.java][lazySet][putOrderedLong] = 1
