occurrences, pattern, ids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99, park,25694360,14385930,24805366,11337384,24241335,19268981,15776500,16072410,797295,17564509,13887558,10669692,15745329,24937398,7427132,3833507,24155615,12788192,14001558,21082692,10878983,14347207,11588906,12108870,11316538,25660899,9199324,12263222,21075345,7907103,25176993,12728589,8332073,22579230,25784457,23632587,25395082,20217983,8715692,23402378,22826640,21581011,21487137,12674796,8228574,7885715,10197957,9966791,17741038,19849079,25103754,16885201,25560878,25386566,24964689,6767961,25570583,11050202,23121353,19747559,4327832,22490061,11342075,19020026,16744401,16712496,24308840,8040156,7321918,19309449,22194843,6932216,21645516,3576407,3292577,19330827,10946839,20644647,8086463,11278791,5389403,13580872,10494095,15145379,17594191,23452177,6187309,15265248,5240361,25097006,25294152,21082973,18385441,24702058,20327634,3531692,19408126,16163029,12420057
24, allocateInstance,17137416,4971136,25774293,95419,17013126,25447910,533922,11898122,20681981,14852641,19714716,22570413,6140113,558839,13873887,4909438,19726617,9567341,25331596,5896151,907388,21748389,9868447,8868117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13, copyMemory,21959898,6181096,20268463,21400016,3329163,6060163,19201332,12341788,23709378,17002284,25210480,15409727,19214648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13, ensureClassInitialized,8111780,770438,25402781,20083682,13951950,2042489,19111493,15809003,24631927,24646799,5944072,24713488,23837339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11, compareAndSwapInt,22236928,4394281,10757284,20781178,21320156,22983899,2443239,22756225,3848070,16966138,16940670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9, defineClass,24556672,8512207,24919841,11682658,18331641,8318965,21647394,37551,19694713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, throwException,14038649,4375828,18827965,11942946,1650835,11410042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, allocateMemory,20596224,2129762,6470651,5819651,17803085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, objectFieldOffset,17335884,21316431,20584970,25810548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, defineAnonymousClass,23863716,25708873,25738551,21887358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, compareAndSwapObject,4183202,22076083,6042858,24183246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, getInt,13860194,13631521,6943858,7823665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, addressSize---getInt---getLong---arrayBaseOffset,25612552,7060215,21276896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, arrayIndexScale---arrayBaseOffset,22861107,22846538,25070375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, putOrderedLong,25331628,1468007,8381440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, putInt,18640787,22332990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, getObject,18640659,21734785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, copyMemory---getAddress---allocateMemory---getInt---freeMemory,18172790,25257400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, compareAndSwapLong,15052883,10466672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, getByte,9427155,7771068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, putInt---getInt,17977495,11174231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, allocateMemory---putAddress---getAddress,7934779,12198719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
