className, methodName, methodDesc, owner, name, desc
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, addCount, (JI)V, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, helpTransfer, ([Lcom/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8$Node;Lcom/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8$Node;)[Lcom/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8$Node;, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, tryPresize, (I)V, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, tryPresize, (I)V, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, transfer, ([Lcom/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8$Node;[Lcom/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8$Node;)V, sun/misc/Unsafe, putOrderedInt, (Ljava/lang/Object;JI)V
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, transfer, ([Lcom/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8$Node;[Lcom/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8$Node;)V, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, transfer, ([Lcom/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8$Node;[Lcom/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8$Node;)V, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, treeifyBin, ([Lcom/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8$Node;I)V, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, fullAddCount, (JLcom/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8$CounterHashCode;Z)V, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, fullAddCount, (JLcom/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8$CounterHashCode;Z)V, sun/misc/Unsafe, compareAndSwapLong, (Ljava/lang/Object;JJJ)Z
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, fullAddCount, (JLcom/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8$CounterHashCode;Z)V, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, fullAddCount, (JLcom/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8$CounterHashCode;Z)V, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, fullAddCount, (JLcom/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8$CounterHashCode;Z)V, sun/misc/Unsafe, compareAndSwapLong, (Ljava/lang/Object;JJJ)Z
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, getUnsafe, ()Lsun/misc/Unsafe;, sun/misc/Unsafe, getUnsafe, ()Lsun/misc/Unsafe;
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, <clinit>, ()V, sun/misc/Unsafe, arrayBaseOffset, (Ljava/lang/Class;)I
com/googlecode/concurrentlinkedhashmap/ConcurrentHashMapV8, <clinit>, ()V, sun/misc/Unsafe, arrayIndexScale, (Ljava/lang/Class;)I
org/apache/hadoop/io/FastByteComparisons$LexicographicalComparerHolder$UnsafeComparer, compareTo, ([BII[BII)I, sun/misc/Unsafe, getLong, (Ljava/lang/Object;J)J
org/apache/hadoop/io/FastByteComparisons$LexicographicalComparerHolder$UnsafeComparer, compareTo, ([BII[BII)I, sun/misc/Unsafe, getLong, (Ljava/lang/Object;J)J
org/apache/hadoop/io/FastByteComparisons$LexicographicalComparerHolder$UnsafeComparer, <clinit>, ()V, sun/misc/Unsafe, arrayBaseOffset, (Ljava/lang/Class;)I
org/apache/hadoop/io/FastByteComparisons$LexicographicalComparerHolder$UnsafeComparer, <clinit>, ()V, sun/misc/Unsafe, arrayIndexScale, (Ljava/lang/Class;)I
com/google/common/cache/Striped64$Cell, cas, (JJ)Z, sun/misc/Unsafe, compareAndSwapLong, (Ljava/lang/Object;JJJ)Z
com/google/common/cache/Striped64$Cell, <clinit>, ()V, sun/misc/Unsafe, objectFieldOffset, (Ljava/lang/reflect/Field;)J
com/google/common/cache/Striped64, casBase, (JJ)Z, sun/misc/Unsafe, compareAndSwapLong, (Ljava/lang/Object;JJJ)Z
com/google/common/cache/Striped64, casBusy, ()Z, sun/misc/Unsafe, compareAndSwapInt, (Ljava/lang/Object;JII)Z
com/google/common/cache/Striped64, getUnsafe, ()Lsun/misc/Unsafe;, sun/misc/Unsafe, getUnsafe, ()Lsun/misc/Unsafe;
